DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2020-12-31,SACRAMENTO KINGS,119.0,HOUSTON ROCKETS,122.0,SAC,HOU
2020-12-31,NEW YORK KNICKS,83.0,TORONTO RAPTORS,100.0,NYK,TOR
2020-12-31,NEW ORLEANS PELICANS,113.0,OKLAHOMA CITY THUNDER,80.0,NOP,OKC
2020-12-31,PHOENIX SUNS,106.0,UTAH JAZZ,95.0,PHO,UTA
2021-01-01,MEMPHIS GRIZZLIES,108.0,CHARLOTTE HORNETS,93.0,MEM,CHO
2021-01-01,MIAMI HEAT,83.0,DALLAS MAVERICKS,93.0,MIA,DAL
2021-01-01,BOSTON CELTICS,93.0,DETROIT PISTONS,96.0,BOS,DET
2021-01-01,ATLANTA HAWKS,114.0,BROOKLYN NETS,96.0,ATL,BRK
2021-01-01,CHICAGO BULLS,96.0,MILWAUKEE BUCKS,126.0,CHI,MIL
2021-01-01,WASHINGTON WIZARDS,130.0,MINNESOTA TIMBERWOLVES,109.0,WAS,MIN
2021-01-01,LOS ANGELES LAKERS,109.0,SAN ANTONIO SPURS,103.0,LAL,SAS
2021-01-01,PHOENIX SUNS,106.0,DENVER NUGGETS,103.0,PHO,DEN
2021-01-01,LOS ANGELES CLIPPERS,100.0,UTAH JAZZ,106.0,LAC,UTA
2021-01-01,PORTLAND TRAIL BLAZERS,123.0,GOLDEN STATE WARRIORS,98.0,POR,GSW
2021-01-02,SACRAMENTO KINGS,94.0,HOUSTON ROCKETS,102.0,SAC,HOU
2021-01-02,NEW YORK KNICKS,106.0,INDIANA PACERS,102.0,NYK,IND
2021-01-02,OKLAHOMA CITY THUNDER,108.0,ORLANDO MAGIC,99.0,OKC,ORL
2021-01-02,CHARLOTTE HORNETS,112.0,PHILADELPHIA 76ERS,127.0,CHO,PHI
2021-01-02,CLEVELAND CAVALIERS,96.0,ATLANTA HAWKS,91.0,CLE,ATL
2021-01-02,TORONTO RAPTORS,116.0,NEW ORLEANS PELICANS,120.0,TOR,NOP
2021-01-03,BOSTON CELTICS,122.0,DETROIT PISTONS,120.0,BOS,DET
2021-01-03,WASHINGTON WIZARDS,123.0,BROOKLYN NETS,122.0,WAS,BRK
2021-01-03,LOS ANGELES LAKERS,108.0,MEMPHIS GRIZZLIES,94.0,LAL,MEM
2021-01-03,DENVER NUGGETS,124.0,MINNESOTA TIMBERWOLVES,109.0,DEN,MIN
2021-01-03,UTAH JAZZ,130.0,SAN ANTONIO SPURS,109.0,UTA,SAS
2021-01-03,DALLAS MAVERICKS,108.0,CHICAGO BULLS,118.0,DAL,CHI
2021-01-03,LOS ANGELES CLIPPERS,112.0,PHOENIX SUNS,107.0,LAC,PHO
2021-01-03,PORTLAND TRAIL BLAZERS,122.0,GOLDEN STATE WARRIORS,137.0,POR,GSW
2021-01-04,CLEVELAND CAVALIERS,83.0,ORLANDO MAGIC,103.0,CLE,ORL
2021-01-04,CHARLOTTE HORNETS,101.0,PHILADELPHIA 76ERS,118.0,CHO,PHI
2021-01-04,NEW YORK KNICKS,113.0,ATLANTA HAWKS,108.0,NYK,ATL
2021-01-04,OKLAHOMA CITY THUNDER,90.0,MIAMI HEAT,118.0,OKC,MIA
2021-01-04,BOSTON CELTICS,126.0,TORONTO RAPTORS,114.0,BOS,TOR
2021-01-04,DALLAS MAVERICKS,113.0,HOUSTON ROCKETS,100.0,DAL,HOU
2021-01-04,DETROIT PISTONS,115.0,MILWAUKEE BUCKS,125.0,DET,MIL
2021-01-04,INDIANA PACERS,118.0,NEW ORLEANS PELICANS,116.0,IND,NOP
2021-01-04,SACRAMENTO KINGS,106.0,GOLDEN STATE WARRIORS,137.0,SAC,GSW
2021-01-05,UTAH JAZZ,96.0,BROOKLYN NETS,130.0,UTA,BRK
2021-01-05,LOS ANGELES LAKERS,94.0,MEMPHIS GRIZZLIES,92.0,LAL,MEM
2021-01-05,MINNESOTA TIMBERWOLVES,116.0,DENVER NUGGETS,123.0,MIN,DEN
2021-01-05,SAN ANTONIO SPURS,116.0,LOS ANGELES CLIPPERS,113.0,SAS,LAC
2021-01-05,CHICAGO BULLS,111.0,PORTLAND TRAIL BLAZERS,108.0,CHI,POR
2021-01-06,HOUSTON ROCKETS,107.0,INDIANA PACERS,114.0,HOU,IND
2021-01-06,CLEVELAND CAVALIERS,94.0,ORLANDO MAGIC,105.0,CLE,ORL
2021-01-06,WASHINGTON WIZARDS,136.0,PHILADELPHIA 76ERS,141.0,WAS,PHI
2021-01-06,CHARLOTTE HORNETS,102.0,ATLANTA HAWKS,94.0,CHO,ATL
2021-01-06,BOSTON CELTICS,107.0,MIAMI HEAT,105.0,BOS,MIA
2021-01-06,UTAH JAZZ,100.0,NEW YORK KNICKS,112.0,UTA,NYK
2021-01-06,DETROIT PISTONS,115.0,MILWAUKEE BUCKS,130.0,DET,MIL
2021-01-06,OKLAHOMA CITY THUNDER,111.0,NEW ORLEANS PELICANS,110.0,OKC,NOP
2021-01-06,TORONTO RAPTORS,115.0,PHOENIX SUNS,123.0,TOR,PHO
2021-01-06,LOS ANGELES CLIPPERS,108.0,GOLDEN STATE WARRIORS,101.0,LAC,GSW
2021-01-06,CHICAGO BULLS,124.0,SACRAMENTO KINGS,128.0,CHI,SAC
2021-01-07,PHILADELPHIA 76ERS,109.0,BROOKLYN NETS,122.0,PHI,BRK
2021-01-07,CLEVELAND CAVALIERS,94.0,MEMPHIS GRIZZLIES,90.0,CLE,MEM
2021-01-07,DALLAS MAVERICKS,124.0,DENVER NUGGETS,117.0,DAL,DEN
2021-01-07,SAN ANTONIO SPURS,118.0,LOS ANGELES LAKERS,109.0,SAS,LAL
2021-01-07,MINNESOTA TIMBERWOLVES,117.0,PORTLAND TRAIL BLAZERS,135.0,MIN,POR
2021-01-08,PHOENIX SUNS,105.0,DETROIT PISTONS,110.0,PHO,DET
2021-01-08,WASHINGTON WIZARDS,107.0,BOSTON CELTICS,116.0,WAS,BOS
2021-01-08,CHARLOTTE HORNETS,118.0,NEW ORLEANS PELICANS,110.0,CHO,NOP
2021-01-08,OKLAHOMA CITY THUNDER,101.0,NEW YORK KNICKS,89.0,OKC,NYK
2021-01-08,ORLANDO MAGIC,90.0,HOUSTON ROCKETS,132.0,ORL,HOU
2021-01-08,BROOKLYN NETS,110.0,MEMPHIS GRIZZLIES,115.0,BRK,MEM
2021-01-08,UTAH JAZZ,131.0,MILWAUKEE BUCKS,118.0,UTA,MIL
2021-01-08,LOS ANGELES CLIPPERS,105.0,GOLDEN STATE WARRIORS,115.0,LAC,GSW
2021-01-08,CHICAGO BULLS,115.0,LOS ANGELES LAKERS,117.0,CHI,LAL
2021-01-08,TORONTO RAPTORS,144.0,SACRAMENTO KINGS,123.0,TOR,SAC
2021-01-09,DENVER NUGGETS,115.0,PHILADELPHIA 76ERS,103.0,DEN,PHI
