DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-10-31,Houston Rockets,85.0,Los Angeles Lakers,95.0
2021-11-01,Cleveland Cavaliers,113.0,Charlotte Hornets,110.0
2021-11-01,San Antonio Spurs,118.0,Indiana Pacers,131.0
2021-11-01,Portland Trail Blazers,103.0,Philadelphia 76ers,113.0
2021-11-01,Washington Wizards,111.0,Atlanta Hawks,118.0
2021-11-01,Chicago Bulls,128.0,Boston Celtics,114.0
2021-11-01,Toronto Raptors,113.0,New York Knicks,104.0
2021-11-01,Denver Nuggets,97.0,Memphis Grizzlies,106.0
2021-11-01,Orlando Magic,115.0,Minnesota Timberwolves,97.0
2021-11-01,Oklahoma City Thunder,94.0,Los Angeles Clippers,99.0
2021-11-02,Milwaukee Bucks,117.0,Detroit Pistons,89.0
2021-11-02,Miami Heat,125.0,Dallas Mavericks,110.0
2021-11-02,Sacramento Kings,113.0,Utah Jazz,119.0
2021-11-02,New Orleans Pelicans,100.0,Phoenix Suns,112.0
2021-11-02,Houston Rockets,117.0,Los Angeles Lakers,119.0
2021-11-03,Portland Trail Blazers,104.0,Cleveland Cavaliers,107.0
2021-11-03,New York Knicks,98.0,Indiana Pacers,111.0
2021-11-03,Boston Celtics,92.0,Orlando Magic,79.0
2021-11-03,Chicago Bulls,98.0,Philadelphia 76ers,103.0
2021-11-03,Toronto Raptors,109.0,Washington Wizards,100.0
2021-11-03,Atlanta Hawks,108.0,Brooklyn Nets,117.0
2021-11-03,Denver Nuggets,106.0,Memphis Grizzlies,108.0
2021-11-03,Los Angeles Clippers,126.0,Minnesota Timberwolves,115.0
2021-11-03,Dallas Mavericks,109.0,San Antonio Spurs,108.0
2021-11-03,Charlotte Hornets,92.0,Golden State Warriors,114.0
2021-11-03,New Orleans Pelicans,99.0,Sacramento Kings,112.0
2021-11-04,Philadelphia 76ers,109.0,Detroit Pistons,98.0
2021-11-04,Utah Jazz,116.0,Atlanta Hawks,98.0
2021-11-04,Boston Celtics,95.0,Miami Heat,78.0
2021-11-04,Houston Rockets,111.0,Phoenix Suns,123.0
2021-11-04,Oklahoma City Thunder,107.0,Los Angeles Lakers,104.0
2021-11-05,Brooklyn Nets,96.0,Detroit Pistons,90.0
2021-11-05,San Antonio Spurs,102.0,Orlando Magic,89.0
2021-11-05,Memphis Grizzlies,87.0,Washington Wizards,115.0
2021-11-05,New York Knicks,113.0,Milwaukee Bucks,98.0
2021-11-05,Cleveland Cavaliers,102.0,Toronto Raptors,101.0
2021-11-05,Los Angeles Clippers,104.0,Minnesota Timberwolves,84.0
2021-11-05,New Orleans Pelicans,85.0,Golden State Warriors,126.0
2021-11-05,Indiana Pacers,106.0,Portland Trail Blazers,110.0
2021-11-05,Charlotte Hornets,110.0,Sacramento Kings,140.0
2021-11-06,Houston Rockets,94.0,Denver Nuggets,95.0
2021-11-06,Utah Jazz,115.0,Miami Heat,118.0
2021-11-06,Philadelphia 76ers,114.0,Chicago Bulls,105.0
2021-11-06,Boston Celtics,104.0,Dallas Mavericks,107.0
2021-11-06,Atlanta Hawks,117.0,Phoenix Suns,121.0
2021-11-06,Los Angeles Lakers,90.0,Portland Trail Blazers,105.0
2021-11-07,Brooklyn Nets,116.0,Toronto Raptors,103.0
2021-11-07,Cleveland Cavaliers,126.0,New York Knicks,109.0
2021-11-07,Utah Jazz,100.0,Orlando Magic,107.0
2021-11-07,Indiana Pacers,94.0,Sacramento Kings,91.0
2021-11-07,Milwaukee Bucks,94.0,Washington Wizards,101.0
