,HOME_ABBR,MARGIN,FG_PCT_home
0,ATL,2.5020451770451806,0.44024444444444444
1,BOS,7.482142857142861,0.46145401785714285
2,BRK,7.006020021645021,0.4962679924242424
3,CHI,6.118551587301589,0.4568167410714285
4,CHO,-7.5395991161616145,0.4468993303571429
5,CLE,-6.432102272727278,0.45866406249999997
6,DAL,-4.86222492784993,0.44746017732267734
7,DEN,9.783333333333331,0.47251666666666664
8,DET,-0.9393398268398272,0.4158916666666667
9,GSW,-5.488458994708992,0.45319011544011545
10,HOU,-8.815476190476197,0.4528080357142857
11,IND,2.7252570346320404,0.4747766571969697
12,LAC,4.115327380952365,0.4849598214285714
13,MIA,-5.856619769119774,0.47909079861111115
14,MIL,6.883630952380948,0.49652127976190474
15,MIN,-3.2968479437229377,0.4443891369047619
16,NOP,-3.260067189754693,0.4608629464285714
17,NYK,-5.748065476190469,0.44214285714285717
18,OKC,-8.28471528471529,0.44662581168831167
19,ORL,-7.837175324675329,0.4301924107142857
20,PHI,10.042261904761908,0.48501562500000006
21,PHO,-1.479117063492069,0.4678440476190476
22,POR,6.44077380952379,0.437984375
23,SAC,11.594047619047629,0.47984999999999994
24,SAS,0.2827230639730587,0.45261704094516597
25,TOR,-4.9986088564213595,0.4358314732142858
26,UTA,3.0275297619047628,0.4599696180555556
27,WAS,2.212263431013433,0.4660089285714286
