HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,FG_PCT_home,FT_PCT_home,FG3_PCT_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away
ATL,CHI,120.4,109.8,10.600000000000009,0.5212000000000001,0.7941,0.40020000000000006,0.4795,0.7926,0.3278
BOS,MEM,110.5,119.7,-9.200000000000003,0.4725,0.8217999999999999,0.34070000000000006,0.4662,0.6793,0.32710000000000006
BRK,MIA,107.0,110.0,-3.0,0.44539999999999996,0.7733,0.3198,0.4656999999999999,0.8225000000000001,0.3761
TOR,DET,113.2,108.5,4.700000000000003,0.4619000000000001,0.7777000000000001,0.3863,0.4441,0.7741,0.3616
DAL,GSW,108.8,112.7,-3.9000000000000057,0.4704,0.7867,0.3623,0.4566,0.8065,0.37210000000000004
SAS,SAC,112.4,104.2,8.200000000000003,0.4692,0.7539,0.34469999999999995,0.44959999999999994,0.7642,0.3107
LAC,LAL,113.7,107.7,6.0,0.4772,0.7786,0.39719999999999994,0.47140000000000004,0.7413,0.3613
