DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,FG_PCT_home,FT_PCT_home,FG3_PCT_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,home_winning_percentage,diff_%
2022-02-27,NYK,HOME,-0.2,3.7,-3.9,0.013600000000000056,0.0028000000000001136,0.0009000000000000119,-0.003180000000000016,0.03498000000000003,-0.000660000000000005,0.44649712764466865,-0.2
2022-02-27,PHI,VISITOR,-8.233333333333334,-0.7000000000000028,-7.533333333333331,-0.019866666666666644,-0.0826333333333333,-0.05529999999999999,-0.027300000000000064,0.027166666666666745,-0.03973333333333331,0.5863929146537843,-0.2
2022-02-27,PHO,HOME,-1.4333333333333276,-2.1500000000000035,0.7166666666666757,0.005699999999999862,0.017666666666666626,0.017333333333333378,0.00573333333333334,-0.05400000000000001,0.008449999999999985,0.8056145201120254,0.2
2022-02-27,UTA,VISITOR,-4.599999999999994,5.099999999999994,-9.699999999999989,-0.014300000000000146,-0.0525000000000001,0.04350000000000004,0.02080000000000004,-0.12650000000000006,0.07079999999999997,0.6291666666666667,0.2
2022-02-27,IND,HOME,-2.4000000000000057,6.957142857142857,-9.357142857142863,-0.007957142857142894,0.07097142857142864,-0.051842857142857184,0.044728571428571416,0.042357142857142836,0.06344285714285715,0.3631344219332006,-0.2
2022-02-27,BOS,VISITOR,-2.9000000000000057,-15.400000000000006,12.5,0.004850000000000049,0.04325000000000001,0.01930000000000001,-0.07890000000000005,-0.04129999999999995,-0.0706,0.532258064516129,-0.2
2022-02-27,CHO,HOME,15.333333333333334,5.6333333333333355,9.699999999999998,0.09326666666666665,0.004833333333333245,0.1135,0.005099999999999975,-0.018466666666666742,-0.023433333333333323,0.5287973253817656,0.2
2022-02-27,DET,VISITOR,18.0,21.200000000000003,-3.200000000000003,0.0716,-0.056500000000000106,0.1175,0.023400000000000032,-0.040300000000000114,-0.008500000000000008,0.25,0.2
2022-02-27,HOU,HOME,14.799999999999997,21.949999999999996,-7.149999999999999,0.055400000000000005,0.0131,0.058699999999999974,0.045649999999999996,-0.008149999999999935,0.016750000000000043,0.2770034843205575,-0.2
2022-02-27,LAC,VISITOR,1.4000000000000057,-3.9000000000000057,5.300000000000011,0.04389999999999994,-0.20190000000000008,0.08050000000000002,-0.022499999999999964,-0.05359999999999998,0.05329999999999996,0.5333333333333333,-0.2
2022-02-27,GSW,HOME,-8.450000000000003,-6.175000000000001,-2.275000000000002,-0.033500000000000044,-0.010299999999999976,-0.06404999999999997,-0.03480000000000001,0.024499999999999994,-0.0008500000000000174,0.7200466737214238,0.1
2022-02-27,DAL,VISITOR,-17.919999999999998,-5.100000000000003,-12.819999999999997,-0.06566000000000001,-0.06495999999999999,-0.08269999999999998,-0.008499999999999985,0.013999999999999967,0.011,0.5733694042908288,0.1
2022-02-27,POR,HOME,2.875,5.887500000000001,-3.012500000000001,0.0025000000000000647,-0.009674999999999934,0.05067500000000002,0.01753749999999999,-0.012387499999999982,0.05322499999999999,0.4051876746208587,-0.2
2022-02-27,DEN,VISITOR,-5.679999999999998,-0.19999999999999432,-5.480000000000004,-0.016659999999999942,3.999999999995119e-05,-0.06541999999999995,0.0021000000000000905,-0.00979999999999992,-0.027900000000000036,0.5496840618495391,-0.2
2022-02-27,LAL,HOME,9.325000000000003,5.362500000000001,3.962500000000002,0.025250000000000022,0.015674999999999897,0.029799999999999972,-0.013600000000000008,-0.02668749999999999,-0.005312499999999977,0.49437551000051,0.1
2022-02-27,NOP,VISITOR,-7.533333333333336,-11.0,3.4666666666666637,-0.00886666666666667,0.002833333333333391,-0.06649999999999999,-0.025533333333333408,-0.11719999999999997,-0.00909999999999996,0.3390920701265529,0.1
