DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-10-26,DAL,HOU,116,106,10,1,0.462,0.72,0.279,25,50,0.419,0.6920000000000001,0.41,24,49
2021-10-26,UTA,DEN,122,110,12,1,0.518,0.759,0.308,20,41,0.506,0.667,0.35700000000000004,19,35
2021-10-27,ORL,CHO,111,120,-9,0,0.489,0.769,0.375,22,33,0.518,0.833,0.467,22,40
2021-10-27,BOS,WAS,107,116,-9,0,0.435,0.821,0.345,18,37,0.512,0.7240000000000001,0.36,18,47
2021-10-27,BRK,MIA,93,106,-13,0,0.388,0.929,0.326,21,42,0.396,0.846,0.276,21,62
2021-10-27,TOR,IND,118,100,18,1,0.46,0.632,0.467,22,41,0.481,0.8240000000000001,0.345,19,40
2021-10-27,NOP,ATL,99,102,-3,0,0.43,0.889,0.306,24,44,0.417,0.8240000000000001,0.267,21,55
2021-10-27,MIL,MIN,108,113,-5,0,0.411,0.762,0.275,22,43,0.473,0.8240000000000001,0.289,29,49
2021-10-27,OKC,LAL,123,115,8,1,0.5,0.759,0.405,21,42,0.5,0.857,0.314,29,40
2021-10-27,PHO,SAC,107,110,-3,0,0.452,0.708,0.273,23,56,0.442,0.733,0.395,28,40
2021-10-27,POR,MEM,116,96,20,1,0.464,0.742,0.417,22,48,0.365,0.474,0.34,27,50
2021-10-27,LAC,CLE,79,92,-13,0,0.35600000000000004,0.615,0.22,19,36,0.407,0.852,0.15,12,57
2021-10-28,WAS,ATL,122,111,11,1,0.465,0.81,0.382,26,51,0.545,0.643,0.28600000000000003,26,43
2021-10-28,PHI,DET,110,102,8,1,0.5,0.917,0.444,22,46,0.407,0.7040000000000001,0.333,22,37
2021-10-28,HOU,UTA,91,122,-31,0,0.326,0.87,0.205,15,41,0.482,0.8,0.348,24,58
2021-10-28,CHI,NYK,103,104,-1,0,0.429,0.909,0.344,25,37,0.459,0.75,0.379,16,49
2021-10-28,DAL,SAS,104,99,5,1,0.461,0.308,0.4,18,45,0.443,0.6,0.4,21,48
2021-10-28,GSW,MEM,101,104,-3,0,0.433,0.75,0.35,29,48,0.402,1.0,0.25,25,51
2021-10-29,TOR,ORL,110,109,1,1,0.5,0.682,0.3,18,40,0.471,0.688,0.471,24,46
2021-10-29,MIA,CHO,114,99,15,1,0.473,1.0,0.257,23,60,0.389,0.727,0.35100000000000003,21,37
2021-10-29,BRK,IND,105,98,7,1,0.447,0.7559999999999999,0.231,20,50,0.398,0.696,0.276,20,46
2021-10-29,NOP,SAC,109,113,-4,0,0.429,0.64,0.265,18,49,0.5,0.96,0.333,19,45
2021-10-29,DEN,DAL,106,75,31,1,0.518,0.6920000000000001,0.306,28,51,0.295,0.778,0.21600000000000005,14,36
2021-10-29,POR,LAC,111,92,19,1,0.418,0.625,0.463,21,63,0.391,0.563,0.35700000000000004,17,43
2021-10-29,LAL,CLE,113,101,12,1,0.5479999999999999,0.9,0.444,24,42,0.425,0.682,0.353,28,36
2021-10-30,WAS,BOS,115,112,3,1,0.365,0.8059999999999999,0.278,19,62,0.411,0.88,0.077,23,54
2021-10-30,DET,ORL,110,103,7,1,0.404,0.8,0.326,26,48,0.4370000000000001,0.733,0.5,21,46
2021-10-30,NOP,NYK,117,123,-6,0,0.457,0.917,0.333,30,43,0.519,0.8,0.5760000000000001,22,37
2021-10-30,IND,TOR,94,97,-3,0,0.4320000000000001,0.688,0.302,25,40,0.424,0.667,0.344,18,48
2021-10-30,PHI,ATL,122,94,28,1,0.535,0.947,0.316,24,37,0.379,0.737,0.364,24,49
2021-10-30,CHI,UTA,107,99,8,1,0.429,0.8,0.238,16,45,0.38,0.947,0.289,15,54
2021-10-30,MEM,MIA,103,129,-26,0,0.386,0.905,0.32,26,32,0.523,0.8420000000000001,0.568,31,50
2021-10-30,MIL,SAS,93,102,-9,0,0.404,0.688,0.256,20,52,0.411,0.708,0.226,28,49
2021-10-30,GSW,OKC,103,82,21,1,0.424,0.5,0.389,30,56,0.349,0.762,0.205,14,45
2021-10-30,MIN,DEN,91,93,-2,0,0.393,0.889,0.317,21,46,0.409,0.75,0.243,24,48
2021-10-30,PHO,CLE,101,92,9,1,0.464,0.63,0.231,27,52,0.396,0.857,0.318,21,47
2021-10-31,DAL,SAC,105,99,6,1,0.444,0.65,0.324,24,45,0.396,0.8,0.194,20,56
2021-10-31,CHO,POR,125,113,12,1,0.517,0.619,0.476,36,44,0.443,0.909,0.315,30,47
2021-10-31,MIL,UTA,95,107,-12,0,0.406,0.833,0.293,16,44,0.467,0.926,0.324,13,44
2021-10-31,BRK,DET,117,91,26,1,0.653,0.625,0.52,30,41,0.405,0.682,0.364,21,29
2021-10-31,LAL,HOU,95,85,10,1,0.406,0.615,0.29,22,43,0.421,0.517,0.214,18,55
2021-11-01,CHO,CLE,110,113,-3,0,0.416,0.733,0.385,27,46,0.433,0.684,0.321,21,49
2021-11-01,IND,SAS,131,118,13,1,0.5710000000000001,0.75,0.474,37,39,0.528,0.7140000000000001,0.5,34,36
2021-11-01,PHI,POR,113,103,10,1,0.518,0.875,0.361,34,34,0.476,0.611,0.353,21,45
2021-11-01,ATL,WAS,118,111,7,1,0.458,1.0,0.382,24,47,0.477,1.0,0.333,27,36
2021-11-01,BOS,CHI,114,128,-14,0,0.438,0.75,0.455,20,38,0.57,0.944,0.419,30,50
2021-11-01,NYK,TOR,104,113,-9,0,0.461,0.75,0.421,20,41,0.434,0.929,0.333,24,48
2021-11-01,MEM,DEN,106,97,9,1,0.454,0.7140000000000001,0.382,20,55,0.443,0.667,0.237,27,40
2021-11-01,MIN,ORL,97,115,-18,0,0.371,0.579,0.275,21,47,0.451,0.8,0.395,21,51
2021-11-01,LAC,OKC,99,94,5,1,0.38,0.737,0.35700000000000004,18,51,0.389,0.813,0.297,17,51
2021-11-02,DET,MIL,89,117,-28,0,0.32299999999999995,0.7,0.17,21,43,0.5,0.762,0.459,28,52
2021-11-02,DAL,MIA,110,125,-15,0,0.44,0.71,0.333,17,41,0.518,0.867,0.52,25,45
2021-11-02,UTA,SAC,119,113,6,1,0.439,0.7040000000000001,0.292,16,59,0.452,0.708,0.387,24,38
2021-11-02,PHO,NOP,112,100,12,1,0.524,0.944,0.34600000000000003,32,42,0.396,0.938,0.333,21,43
2021-11-02,LAL,HOU,119,117,2,1,0.527,0.75,0.24,26,43,0.527,0.417,0.381,27,38
2021-11-03,CLE,POR,107,104,3,1,0.527,0.778,0.5,29,43,0.444,0.647,0.35100000000000003,24,39
2021-11-03,IND,NYK,111,98,13,1,0.462,0.7859999999999999,0.39,26,49,0.414,0.778,0.208,23,46
2021-11-03,ORL,BOS,79,92,-13,0,0.321,0.8,0.209,15,46,0.418,0.64,0.27,24,50
2021-11-03,PHI,CHI,103,98,5,1,0.494,0.7140000000000001,0.429,24,35,0.463,0.889,0.28600000000000003,19,47
2021-11-03,WAS,TOR,100,109,-9,0,0.436,0.8,0.25,19,44,0.466,0.85,0.4,17,42
2021-11-03,BRK,ATL,117,108,9,1,0.489,0.75,0.458,34,42,0.436,0.867,0.371,23,52
2021-11-03,MEM,DEN,108,106,2,1,0.519,0.5710000000000001,0.471,28,36,0.473,0.923,0.29600000000000004,24,44
2021-11-03,MIN,LAC,115,126,-11,0,0.457,0.938,0.35,27,39,0.603,0.917,0.583,33,35
2021-11-03,SAS,DAL,108,109,-1,0,0.489,0.75,0.333,25,40,0.43,0.7240000000000001,0.235,21,56
2021-11-03,GSW,CHO,114,92,22,1,0.488,0.667,0.4,33,53,0.374,0.737,0.278,18,49
2021-11-03,SAC,NOP,112,99,13,1,0.525,0.818,0.333,27,37,0.43,0.867,0.353,24,40
2021-11-04,DET,PHI,98,109,-11,0,0.402,0.895,0.306,21,41,0.494,0.682,0.375,22,49
2021-11-04,ATL,UTA,98,116,-18,0,0.4270000000000001,0.8079999999999999,0.25,18,32,0.506,0.7390000000000001,0.415,30,46
2021-11-04,MIA,BOS,78,95,-17,0,0.34600000000000003,0.684,0.22,18,45,0.397,0.85,0.39,16,46
2021-11-04,PHO,HOU,123,111,12,1,0.473,0.913,0.452,29,46,0.4320000000000001,0.857,0.344,25,43
2021-11-04,LAL,OKC,104,107,-3,0,0.415,0.8240000000000001,0.364,22,49,0.425,0.6920000000000001,0.366,23,50
2021-11-05,DET,BRK,90,96,-6,0,0.379,0.722,0.324,17,44,0.45,0.929,0.407,25,45
2021-11-05,ORL,SAS,89,102,-13,0,0.393,0.7,0.293,23,43,0.444,0.889,0.316,23,48
2021-11-05,WAS,MEM,115,87,28,1,0.583,0.5379999999999999,0.4,34,53,0.354,0.765,0.194,19,39
2021-11-05,MIL,NYK,98,113,-15,0,0.402,0.762,0.3720000000000001,19,37,0.4270000000000001,0.8079999999999999,0.25,16,59
2021-11-05,TOR,CLE,101,102,-1,0,0.424,0.556,0.444,20,45,0.458,0.8420000000000001,0.333,22,39
2021-11-05,MIN,LAC,84,104,-20,0,0.348,0.7140000000000001,0.327,17,42,0.409,0.813,0.214,18,62
2021-11-05,GSW,NOP,126,85,41,1,0.516,0.857,0.4,36,49,0.35200000000000004,0.75,0.25,23,42
2021-11-05,POR,IND,110,106,4,1,0.488,0.867,0.436,27,42,0.489,0.6,0.333,28,40
2021-11-05,SAC,CHO,140,110,30,1,0.552,0.846,0.5,29,56,0.467,0.619,0.314,29,28
2021-11-06,DEN,HOU,95,94,1,1,0.404,0.8240000000000001,0.225,19,45,0.467,0.667,0.28600000000000003,19,47
2021-11-06,MIA,UTA,118,115,3,1,0.603,0.765,0.524,30,36,0.518,0.737,0.333,26,31
2021-11-06,CHI,PHI,105,114,-9,0,0.402,0.8,0.241,20,46,0.531,0.789,0.5,22,41
2021-11-06,DAL,BOS,107,104,3,1,0.526,0.857,0.333,19,40,0.488,0.688,0.29,20,36
2021-11-06,PHO,ATL,121,117,4,1,0.511,0.81,0.326,26,42,0.433,0.87,0.394,18,50
2021-11-06,POR,LAL,105,90,15,1,0.379,0.75,0.273,22,52,0.344,0.792,0.281,20,59
2021-11-07,TOR,BRK,103,116,-13,0,0.471,0.778,0.233,23,35,0.513,0.85,0.447,29,48
2021-11-07,NYK,CLE,109,126,-17,0,0.459,0.917,0.29,21,32,0.544,0.818,0.5429999999999999,31,48
2021-11-07,ORL,UTA,107,100,7,1,0.494,0.818,0.375,24,39,0.382,0.828,0.19,21,50
2021-11-07,SAC,IND,91,94,-3,0,0.369,0.8640000000000001,0.294,20,33,0.446,0.778,0.24,13,54
2021-11-07,WAS,MIL,101,94,7,1,0.506,0.615,0.407,24,42,0.394,0.556,0.278,17,49
2021-11-07,OKC,SAS,99,94,5,1,0.3720000000000001,0.85,0.28600000000000003,21,57,0.41,0.667,0.2,29,46
2021-11-07,GSW,HOU,120,107,13,1,0.518,0.85,0.326,31,41,0.456,0.6759999999999999,0.303,17,42
2021-11-07,LAC,CHO,120,106,14,1,0.477,0.952,0.375,24,50,0.406,0.778,0.303,20,44
2021-11-08,PHI,NYK,96,103,-7,0,0.385,0.813,0.325,20,47,0.44,0.769,0.325,25,55
2021-11-08,CHI,BRK,118,95,23,1,0.469,0.85,0.29,21,56,0.395,0.8420000000000001,0.333,19,42
2021-11-08,MEM,MIN,125,118,7,1,0.5,0.846,0.393,28,51,0.423,0.826,0.378,23,45
2021-11-08,DAL,NOP,108,92,16,1,0.506,0.615,0.4,27,46,0.425,0.818,0.265,27,39
2021-11-08,DEN,MIA,113,96,17,1,0.462,0.708,0.293,28,49,0.397,0.84,0.361,22,37
2021-11-08,GSW,ATL,127,113,14,1,0.478,0.955,0.409,31,39,0.463,0.769,0.395,21,35
2021-11-08,SAC,PHO,104,109,-5,0,0.451,0.769,0.417,18,46,0.473,0.818,0.4,28,38
2021-11-08,LAL,CHO,126,123,3,1,0.484,0.7140000000000001,0.406,30,51,0.434,0.821,0.333,23,55
2021-11-09,PHI,MIL,109,118,-9,0,0.408,0.917,0.326,21,46,0.463,0.7140000000000001,0.385,21,52
2021-11-09,UTA,ATL,110,98,12,1,0.506,0.813,0.395,21,44,0.435,0.6,0.514,22,32
2021-11-09,LAC,POR,117,109,8,1,0.518,0.684,0.5329999999999999,25,43,0.473,0.75,0.378,29,43
2021-11-10,CLE,WAS,94,97,-3,0,0.461,0.7140000000000001,0.29,21,40,0.417,1.0,0.35700000000000004,25,49
2021-11-10,ORL,BRK,90,123,-33,0,0.38,0.667,0.121,19,49,0.505,0.882,0.4320000000000001,29,49
2021-11-10,BOS,TOR,104,88,16,1,0.447,0.667,0.345,21,44,0.429,0.8420000000000001,0.24,20,41
2021-11-10,HOU,DET,104,112,-8,0,0.4270000000000001,0.647,0.353,17,42,0.433,0.667,0.333,23,49
2021-11-10,NYK,MIL,100,112,-12,0,0.434,0.706,0.4320000000000001,19,38,0.444,0.667,0.52,29,50
2021-11-10,CHI,DAL,117,107,10,1,0.506,0.857,0.484,26,46,0.458,0.792,0.364,23,43
2021-11-10,MEM,CHO,108,118,-10,0,0.421,0.6,0.237,27,57,0.456,0.875,0.417,32,49
2021-11-10,NOP,OKC,100,108,-8,0,0.35100000000000003,0.7190000000000001,0.257,24,50,0.425,0.8,0.294,23,56
2021-11-10,SAS,SAC,136,117,19,1,0.5329999999999999,0.645,0.563,34,43,0.516,0.813,0.278,20,44
2021-11-10,DEN,IND,101,98,3,1,0.429,0.85,0.4,19,39,0.476,0.636,0.355,22,48
2021-11-10,PHO,POR,119,109,10,1,0.521,0.833,0.393,27,39,0.484,0.875,0.233,24,46
2021-11-10,GSW,MIN,123,110,13,1,0.471,0.8,0.275,23,53,0.411,0.75,0.386,30,40
2021-11-10,LAL,MIA,120,117,3,1,0.5,0.625,0.474,26,50,0.417,0.7709999999999999,0.27,26,47
2021-11-11,PHI,TOR,109,115,-6,0,0.455,0.947,0.324,29,39,0.438,1.0,0.424,25,47
2021-11-11,UTA,IND,100,111,-11,0,0.47,0.565,0.281,22,37,0.448,0.737,0.355,19,53
2021-11-11,LAC,MIA,112,109,3,1,0.473,0.882,0.297,20,42,0.443,0.8240000000000001,0.22,18,50
2021-11-12,CHO,NYK,104,96,8,1,0.433,0.667,0.278,25,49,0.387,0.611,0.371,17,51
2021-11-12,BOS,MIL,122,113,9,1,0.49,0.889,0.293,22,53,0.449,0.818,0.34,23,39
2021-11-12,CLE,DET,98,78,20,1,0.476,0.667,0.341,27,40,0.3670000000000001,0.846,0.3,18,43
2021-11-12,HOU,POR,92,104,-12,0,0.4,0.63,0.219,13,49,0.391,0.8059999999999999,0.306,21,52
2021-11-12,MEM,PHO,94,119,-25,0,0.378,0.565,0.212,19,59,0.489,1.0,0.486,28,46
2021-11-12,NOP,BRK,112,120,-8,0,0.489,0.813,0.406,26,43,0.5,0.741,0.529,27,34
2021-11-12,OKC,SAC,105,103,2,1,0.424,0.733,0.333,13,52,0.4,0.765,0.341,20,49
2021-11-12,SAS,DAL,109,123,-14,0,0.488,0.7,0.433,30,41,0.46,0.684,0.4,30,48
2021-11-12,DEN,ATL,105,96,9,1,0.444,0.75,0.28600000000000003,26,49,0.409,0.7140000000000001,0.179,20,50
2021-11-12,GSW,CHI,119,93,26,1,0.484,0.875,0.326,27,47,0.436,0.773,0.29600000000000004,18,38
2021-11-12,LAL,MIN,83,107,-24,0,0.354,0.8,0.22,17,44,0.457,0.75,0.324,24,54
2021-11-13,UTA,MIA,105,111,-6,0,0.412,0.72,0.321,23,38,0.494,0.875,0.394,23,48
2021-11-13,IND,PHI,118,113,5,1,0.573,0.667,0.5,33,37,0.4270000000000001,0.862,0.522,16,46
2021-11-13,NOP,MEM,112,101,11,1,0.481,0.88,0.483,29,37,0.4320000000000001,0.81,0.333,21,39
2021-11-13,ORL,WAS,92,104,-12,0,0.337,0.85,0.325,21,44,0.5,0.8,0.343,29,48
2021-11-13,TOR,DET,121,127,-6,0,0.506,0.645,0.382,21,39,0.544,0.867,0.429,34,34
2021-11-13,CLE,BOS,91,89,2,1,0.383,0.8640000000000001,0.263,17,39,0.423,0.944,0.261,20,47
2021-11-13,LAC,MIN,129,102,27,1,0.535,0.778,0.4,35,57,0.392,0.688,0.306,25,41
2021-11-14,LAL,SAS,114,106,8,1,0.518,0.765,0.484,28,46,0.444,0.667,0.444,28,43
2021-11-14,ATL,MIL,120,100,20,1,0.485,0.846,0.429,21,51,0.452,0.625,0.341,24,30
2021-11-14,CHO,GSW,106,102,4,1,0.477,0.667,0.389,23,39,0.422,0.68,0.231,31,49
2021-11-14,HOU,PHO,89,115,-26,0,0.412,0.667,0.219,19,48,0.433,0.85,0.35,19,52
2021-11-14,OKC,BRK,96,120,-24,0,0.4,0.909,0.311,20,44,0.5,0.952,0.419,31,44
2021-11-14,DEN,POR,124,95,29,1,0.522,0.7859999999999999,0.475,29,49,0.438,0.923,0.333,22,36
2021-11-14,LAC,CHI,90,100,-10,0,0.358,1.0,0.324,16,44,0.442,0.929,0.379,19,45
2021-11-15,CLE,BOS,92,98,-6,0,0.386,0.75,0.4,18,42,0.462,0.8,0.345,23,46
2021-11-15,DET,SAC,107,129,-22,0,0.406,0.941,0.277,23,47,0.531,0.818,0.485,32,47
2021-11-15,WAS,NOP,105,100,5,1,0.464,0.68,0.35700000000000004,23,42,0.405,0.853,0.524,20,45
2021-11-15,ATL,ORL,129,111,18,1,0.5529999999999999,0.6559999999999999,0.467,32,46,0.453,0.643,0.3720000000000001,30,41
2021-11-15,NYK,IND,92,84,8,1,0.43,0.7,0.324,22,46,0.3720000000000001,0.75,0.21600000000000005,16,44
2021-11-15,DAL,DEN,111,101,10,1,0.5,0.7,0.389,30,44,0.476,0.706,0.281,20,46
2021-11-15,MEM,HOU,136,102,34,1,0.542,0.8,0.39,33,49,0.379,0.731,0.289,24,46
2021-11-15,MIN,PHO,96,99,-3,0,0.365,0.778,0.295,18,54,0.376,0.778,0.226,21,52
2021-11-15,OKC,MIA,90,103,-13,0,0.41,0.7,0.366,26,42,0.451,0.846,0.45,22,45
2021-11-15,POR,TOR,118,113,5,1,0.561,0.7140000000000001,0.444,25,39,0.461,0.889,0.455,20,39
2021-11-15,LAL,CHI,103,121,-18,0,0.456,0.8059999999999999,0.188,19,43,0.551,0.727,0.441,31,36
2021-11-16,BRK,GSW,99,117,-18,0,0.386,0.778,0.278,21,38,0.519,0.7859999999999999,0.325,25,53
2021-11-16,UTA,PHI,120,85,35,1,0.517,0.632,0.421,27,56,0.3670000000000001,0.765,0.207,19,42
2021-11-16,LAC,SAS,106,92,14,1,0.435,0.909,0.316,16,52,0.4320000000000001,0.7140000000000001,0.227,26,41
2021-11-17,CHO,WAS,97,87,10,1,0.438,0.5,0.313,30,59,0.3670000000000001,0.813,0.19,23,48
2021-11-17,DET,IND,97,89,8,1,0.425,0.75,0.28600000000000003,16,42,0.418,0.737,0.243,14,43
2021-11-17,ATL,BOS,110,99,11,1,0.506,0.833,0.35100000000000003,28,40,0.44,0.8240000000000001,0.268,24,42
2021-11-17,BRK,CLE,109,99,10,1,0.458,0.84,0.375,29,47,0.393,0.857,0.25,20,50
2021-11-17,MIA,NOP,113,98,15,1,0.483,0.8240000000000001,0.375,29,39,0.44,0.7859999999999999,0.28600000000000003,18,38
2021-11-17,MIL,LAL,109,102,7,1,0.46,0.708,0.324,22,52,0.417,0.833,0.279,24,48
2021-11-17,NYK,ORL,98,104,-6,0,0.42,0.667,0.327,25,45,0.406,0.833,0.289,20,51
2021-11-17,MIN,SAC,107,97,10,1,0.5,0.833,0.278,20,35,0.366,0.76,0.263,19,47
2021-11-17,OKC,HOU,101,89,12,1,0.446,0.563,0.256,18,56,0.35600000000000004,0.684,0.28600000000000003,16,46
2021-11-17,PHO,DAL,105,98,7,1,0.441,0.7140000000000001,0.333,27,49,0.418,1.0,0.5,28,49
2021-11-17,POR,CHI,112,107,5,1,0.44,0.964,0.355,26,44,0.47,0.8,0.448,23,36
2021-11-18,CLE,GSW,89,104,-15,0,0.425,0.563,0.308,22,42,0.494,0.875,0.349,36,34
2021-11-18,MIA,WAS,112,97,15,1,0.5,0.833,0.385,27,41,0.494,0.6,0.417,25,37
2021-11-18,MEM,LAC,120,108,12,1,0.542,0.833,0.423,28,47,0.467,1.0,0.41,24,34
2021-11-18,MIN,SAS,115,90,25,1,0.477,0.8,0.429,30,47,0.417,0.737,0.188,26,42
2021-11-18,DEN,PHI,89,103,-14,0,0.36,0.813,0.333,22,46,0.506,0.5,0.379,22,45
2021-11-18,UTA,TOR,119,103,16,1,0.55,0.923,0.413,34,46,0.415,0.882,0.263,24,35
2021-11-19,CHO,IND,121,118,3,1,0.5429999999999999,0.75,0.387,28,45,0.466,0.7809999999999999,0.306,19,38
2021-11-19,DET,GSW,102,105,-3,0,0.4,0.8,0.333,21,35,0.475,0.81,0.4,22,48
2021-11-19,BOS,LAL,130,108,22,1,0.5,0.816,0.3670000000000001,22,51,0.464,0.75,0.4,20,33
2021-11-19,BRK,ORL,115,113,2,1,0.451,0.92,0.303,19,43,0.449,0.76,0.368,26,45
2021-11-19,MIL,OKC,96,89,7,1,0.373,0.846,0.293,21,53,0.35200000000000004,0.619,0.25,17,53
2021-11-19,NOP,LAC,94,81,13,1,0.4370000000000001,0.625,0.433,19,55,0.378,0.8,0.243,22,43
2021-11-19,DEN,CHI,108,114,-6,0,0.476,0.8,0.378,24,38,0.441,1.0,0.258,19,50
