DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-10-27,POR,MEM,116,96,20,1,.464,.742,.417,22,48,.365,.474,.340,27,50
2021-10-27,LAC,CLE,79,92,-13,0,.356,.615,.220,19,36,.407,.852,.150,12,57
2021-10-28,WAS,ATL,122,111,11,1,.465,.810,.382,26,51,.545,.643,.286,26,43
2021-10-28,PHI,DET,110,102,8,1,.500,.917,.444,22,46,.407,.704,.333,22,37
2021-10-28,HOU,UTA,91,122,-31,0,.326,.870,.205,15,41,.482,.800,.348,24,58
2021-10-28,CHI,NYK,103,104,-1,0,.429,.909,.344,25,37,.459,.750,.379,16,49
2021-10-28,DAL,SAS,104,99,5,1,.461,.308,.400,18,45,.443,.600,.400,21,48
2021-10-28,GSW,MEM,101,104,-3,0,.433,.750,.350,29,48,.402,1.000,.250,25,51
2021-10-29,TOR,ORL,110,109,1,1,.500,.682,.300,18,40,.471,.688,.471,24,46
2021-10-29,MIA,CHO,114,99,15,1,.473,1.000,.257,23,60,.389,.727,.351,21,37
2021-10-29,BRK,IND,105,98,7,1,.447,.756,.231,20,50,.398,.696,.276,20,46
2021-10-29,NOP,SAC,109,113,-4,0,.429,.640,.265,18,49,.500,.960,.333,19,45
2021-10-29,DEN,DAL,106,75,31,1,.518,.692,.306,28,51,.295,.778,.216,14,36
2021-10-29,POR,LAC,111,92,19,1,.418,.625,.463,21,63,.391,.563,.357,17,43
2021-10-29,LAL,CLE,113,101,12,1,.548,.900,.444,24,42,.425,.682,.353,28,36
2021-10-30,WAS,BOS,115,112,3,1,.365,.806,.278,19,62,.411,.880,.077,23,54
2021-10-30,DET,ORL,110,103,7,1,.404,.800,.326,26,48,.437,.733,.500,21,46
2021-10-30,NOP,NYK,117,123,-6,0,.457,.917,.333,30,43,.519,.800,.576,22,37
2021-10-30,IND,TOR,94,97,-3,0,.432,.688,.302,25,40,.424,.667,.344,18,48
2021-10-30,PHI,ATL,122,94,28,1,.535,.947,.316,24,37,.379,.737,.364,24,49
2021-10-30,CHI,UTA,107,99,8,1,.429,.800,.238,16,45,.380,.947,.289,15,54
2021-10-30,MEM,MIA,103,129,-26,0,.386,.905,.320,26,32,.523,.842,.568,31,50
2021-10-30,MIL,SAS,93,102,-9,0,.404,.688,.256,20,52,.411,.708,.226,28,49
2021-10-30,GSW,OKC,103,82,21,1,.424,.500,.389,30,56,.349,.762,.205,14,45
2021-10-30,MIN,DEN,91,93,-2,0,.393,.889,.317,21,46,.409,.750,.243,24,48
2021-10-30,PHO,CLE,101,92,9,1,.464,.630,.231,27,52,.396,.857,.318,21,47
2021-10-31,DAL,SAC,105,99,6,1,.444,.650,.324,24,45,.396,.800,.194,20,56
2021-10-31,CHO,POR,125,113,12,1,.517,.619,.476,36,44,.443,.909,.315,30,47
2021-10-31,MIL,UTA,95,107,-12,0,.406,.833,.293,16,44,.467,.926,.324,13,44
2021-10-31,BRK,DET,117,91,26,1,.653,.625,.520,30,41,.405,.682,.364,21,29
2021-10-31,LAL,HOU,95,85,10,1,.406,.615,.290,22,43,.421,.517,.214,18,55
2021-11-01,CHO,CLE,110,113,-3,0,.416,.733,.385,27,46,.433,.684,.321,21,49
2021-11-01,IND,SAS,131,118,13,1,.571,.750,.474,37,39,.528,.714,.500,34,36
2021-11-01,PHI,POR,113,103,10,1,.518,.875,.361,34,34,.476,.611,.353,21,45
2021-11-01,ATL,WAS,118,111,7,1,.458,1.000,.382,24,47,.477,1.000,.333,27,36
2021-11-01,BOS,CHI,114,128,-14,0,.438,.750,.455,20,38,.570,.944,.419,30,50
2021-11-01,NYK,TOR,104,113,-9,0,.461,.750,.421,20,41,.434,.929,.333,24,48
2021-11-01,MEM,DEN,106,97,9,1,.454,.714,.382,20,55,.443,.667,.237,27,40
2021-11-01,MIN,ORL,97,115,-18,0,.371,.579,.275,21,47,.451,.800,.395,21,51
2021-11-01,LAC,OKC,99,94,5,1,.380,.737,.357,18,51,.389,.813,.297,17,51
2021-11-02,DET,MIL,89,117,-28,0,.323,.700,.170,21,43,.500,.762,.459,28,52
2021-11-02,DAL,MIA,110,125,-15,0,.440,.710,.333,17,41,.518,.867,.520,25,45
2021-11-02,UTA,SAC,119,113,6,1,.439,.704,.292,16,59,.452,.708,.387,24,38
2021-11-02,PHO,NOP,112,100,12,1,.524,.944,.346,32,42,.396,.938,.333,21,43
2021-11-02,LAL,HOU,119,117,2,1,.527,.750,.240,26,43,.527,.417,.381,27,38
2021-11-03,CLE,POR,107,104,3,1,.527,.778,.500,29,43,.444,.647,.351,24,39
2021-11-03,IND,NYK,111,98,13,1,.462,.786,.390,26,49,.414,.778,.208,23,46
2021-11-03,ORL,BOS,79,92,-13,0,.321,.800,.209,15,46,.418,.640,.270,24,50
2021-11-03,PHI,CHI,103,98,5,1,.494,.714,.429,24,35,.463,.889,.286,19,47
2021-11-03,WAS,TOR,100,109,-9,0,.436,.800,.250,19,44,.466,.850,.400,17,42
2021-11-03,BRK,ATL,117,108,9,1,.489,.750,.458,34,42,.436,.867,.371,23,52
2021-11-03,MEM,DEN,108,106,2,1,.519,.571,.471,28,36,.473,.923,.296,24,44
2021-11-03,MIN,LAC,115,126,-11,0,.457,.938,.350,27,39,.603,.917,.583,33,35
2021-11-03,SAS,DAL,108,109,-1,0,.489,.750,.333,25,40,.430,.724,.235,21,56
2021-11-03,GSW,CHO,114,92,22,1,.488,.667,.400,33,53,.374,.737,.278,18,49
2021-11-03,SAC,NOP,112,99,13,1,.525,.818,.333,27,37,.430,.867,.353,24,40
2021-11-04,DET,PHI,98,109,-11,0,.402,.895,.306,21,41,.494,.682,.375,22,49
2021-11-04,ATL,UTA,98,116,-18,0,.427,.808,.250,18,32,.506,.739,.415,30,46
2021-11-04,MIA,BOS,78,95,-17,0,.346,.684,.220,18,45,.397,.850,.390,16,46
2021-11-04,PHO,HOU,123,111,12,1,.473,.913,.452,29,46,.432,.857,.344,25,43
2021-11-04,LAL,OKC,104,107,-3,0,.415,.824,.364,22,49,.425,.692,.366,23,50
2021-11-05,DET,BRK,90,96,-6,0,.379,.722,.324,17,44,.450,.929,.407,25,45
2021-11-05,ORL,SAS,89,102,-13,0,.393,.700,.293,23,43,.444,.889,.316,23,48
2021-11-05,WAS,MEM,115,87,28,1,.583,.538,.400,34,53,.354,.765,.194,19,39
2021-11-05,MIL,NYK,98,113,-15,0,.402,.762,.372,19,37,.427,.808,.250,16,59
2021-11-05,TOR,CLE,101,102,-1,0,.424,.556,.444,20,45,.458,.842,.333,22,39
2021-11-05,MIN,LAC,84,104,-20,0,.348,.714,.327,17,42,.409,.813,.214,18,62
2021-11-05,GSW,NOP,126,85,41,1,.516,.857,.400,36,49,.352,.750,.250,23,42
2021-11-05,POR,IND,110,106,4,1,.488,.867,.436,27,42,.489,.600,.333,28,40
2021-11-05,SAC,CHO,140,110,30,1,.552,.846,.500,29,56,.467,.619,.314,29,28
2021-11-06,DEN,HOU,95,94,1,1,.404,.824,.225,19,45,.467,.667,.286,19,47
2021-11-06,MIA,UTA,118,115,3,1,.603,.765,.524,30,36,.518,.737,.333,26,31
2021-11-06,CHI,PHI,105,114,-9,0,.402,.800,.241,20,46,.531,.789,.500,22,41
2021-11-06,DAL,BOS,107,104,3,1,.526,.857,.333,19,40,.488,.688,.290,20,36
2021-11-06,PHO,ATL,121,117,4,1,.511,.810,.326,26,42,.433,.870,.394,18,50
2021-11-06,POR,LAL,105,90,15,1,.379,.750,.273,22,52,.344,.792,.281,20,59
2021-11-07,TOR,BRK,103,116,-13,0,.471,.778,.233,23,35,.513,.850,.447,29,48
2021-11-07,NYK,CLE,109,126,-17,0,.459,.917,.290,21,32,.544,.818,.543,31,48
2021-11-07,ORL,UTA,107,100,7,1,.494,.818,.375,24,39,.382,.828,.190,21,50
2021-11-07,SAC,IND,91,94,-3,0,.369,.864,.294,20,33,.446,.778,.240,13,54
2021-11-07,WAS,MIL,101,94,7,1,.506,.615,.407,24,42,.394,.556,.278,17,49
2021-11-07,OKC,SAS,99,94,5,1,.372,.850,.286,21,57,.410,.667,.200,29,46
2021-11-07,GSW,HOU,120,107,13,1,.518,.850,.326,31,41,.456,.676,.303,17,42
2021-11-07,LAC,CHO,120,106,14,1,.477,.952,.375,24,50,.406,.778,.303,20,44
2021-11-08,PHI,NYK,96,103,-7,0,.385,.813,.325,20,47,.440,.769,.325,25,55
2021-11-08,CHI,BRK,118,95,23,1,.469,.850,.290,21,56,.395,.842,.333,19,42
2021-11-08,MEM,MIN,125,118,7,1,.500,.846,.393,28,51,.423,.826,.378,23,45
2021-11-08,DAL,NOP,108,92,16,1,.506,.615,.400,27,46,.425,.818,.265,27,39
2021-11-08,DEN,MIA,113,96,17,1,.462,.708,.293,28,49,.397,.840,.361,22,37
2021-11-08,GSW,ATL,127,113,14,1,.478,.955,.409,31,39,.463,.769,.395,21,35
2021-11-08,SAC,PHO,104,109,-5,0,.451,.769,.417,18,46,.473,.818,.400,28,38
2021-11-08,LAL,CHO,126,123,3,1,.484,.714,.406,30,51,.434,.821,.333,23,55
2021-11-09,PHI,MIL,109,118,-9,0,.408,.917,.326,21,46,.463,.714,.385,21,52
2021-11-09,UTA,ATL,110,98,12,1,.506,.813,.395,21,44,.435,.600,.514,22,32
2021-11-09,LAC,POR,117,109,8,1,.518,.684,.533,25,43,.473,.750,.378,29,43
2021-11-10,CLE,WAS,94,97,-3,0,.461,.714,.290,21,40,.417,1.000,.357,25,49
2021-11-10,ORL,BRK,90,123,-33,0,.380,.667,.121,19,49,.505,.882,.432,29,49
2021-11-10,BOS,TOR,104,88,16,1,.447,.667,.345,21,44,.429,.842,.240,20,41
2021-11-10,HOU,DET,104,112,-8,0,.427,.647,.353,17,42,.433,.667,.333,23,49
2021-11-10,NYK,MIL,100,112,-12,0,.434,.706,.432,19,38,.444,.667,.520,29,50
