DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,home_winning_percentage,visitor_winning_percentage
2021-10-22,PHI,BRK,109,114,-5,0,0.473,0.818,0.389,17,35,0.466,0.833,0.316,26,47,0.5,0.5
2021-10-22,HOU,OKC,124,91,33,1,0.505,0.7859999999999999,0.447,29,54,0.374,0.563,0.326,22,39,0.5,0.0
2021-10-22,CHI,NOP,128,112,16,1,0.528,0.8,0.5,32,46,0.483,0.813,0.517,26,42,1.0,0.0
2021-10-22,DEN,SAS,102,96,6,1,0.512,0.625,0.3,26,41,0.47600000000000003,0.7140000000000001,0.25,24,39,1.0,0.5
2021-10-22,LAL,PHO,105,115,-10,0,0.395,0.759,0.441,25,46,0.488,0.75,0.313,31,47,0.0,0.5
2021-10-22,SAC,UTA,101,110,-9,0,0.39399999999999996,0.7140000000000001,0.222,20,52,0.41100000000000003,0.87,0.381,16,51,0.5,1.0
2021-10-23,CLE,ATL,101,95,6,1,0.41600000000000004,0.741,0.25,23,54,0.384,0.6,0.294,20,54,0.3333333333333333,0.5
2021-10-23,IND,MIA,102,91,11,1,0.392,0.762,0.256,18,55,0.385,0.857,0.273,18,55,0.3333333333333333,0.5
2021-10-23,TOR,DAL,95,103,-8,0,0.4,0.696,0.297,17,49,0.418,0.722,0.33299999999999996,24,50,0.3333333333333333,0.5
2021-10-23,CHI,DET,97,82,15,1,0.41700000000000004,0.8420000000000001,0.423,24,42,0.386,0.6,0.179,14,53,1.0,0.0
2021-10-23,MIN,NOP,96,89,7,1,0.406,0.6,0.316,22,47,0.348,0.7829999999999999,0.225,15,61,1.0,0.0
2021-10-23,SAS,MIL,111,121,-10,0,0.485,0.833,0.256,29,38,0.53,0.818,0.429,21,44,0.3333333333333333,0.6666666666666666
2021-10-23,POR,PHO,134,105,29,1,0.5429999999999999,0.647,0.42,24,48,0.483,0.667,0.321,27,38,0.5,0.3333333333333333
2021-10-23,LAC,MEM,114,120,-6,0,0.434,0.882,0.33299999999999996,23,44,0.467,0.84,0.41700000000000004,26,48,0.0,1.0
2021-10-24,BRK,CHO,95,111,-16,0,0.4370000000000001,0.833,0.257,18,44,0.457,0.789,0.33299999999999996,26,48,0.3333333333333333,1.0
2021-10-24,HOU,BOS,97,107,-10,0,0.4270000000000001,0.792,0.43799999999999994,20,40,0.442,0.8,0.319,22,43,0.3333333333333333,0.3333333333333333
2021-10-24,NYK,ORL,104,110,-6,0,0.37,0.68,0.271,20,52,0.409,0.765,0.27899999999999997,22,57,0.6666666666666666,0.3333333333333333
2021-10-24,OKC,PHI,103,115,-12,0,0.47600000000000003,0.789,0.258,24,42,0.466,0.8,0.415,25,47,0.0,0.6666666666666666
2021-10-24,SAC,GSW,107,119,-12,0,0.488,0.615,0.326,26,47,0.44299999999999995,0.833,0.35100000000000003,26,43,0.3333333333333333,1.0
2021-10-24,LAL,MEM,121,118,3,1,0.536,0.682,0.5329999999999999,29,36,0.45,0.833,0.371,25,49,0.3333333333333333,0.6666666666666666
2021-10-25,CHO,BOS,129,140,-11,0,0.447,0.643,0.4320000000000001,26,52,0.495,0.84,0.38,33,53,0.75,0.5
2021-10-25,IND,MIL,109,119,-10,0,0.444,0.882,0.389,23,47,0.48200000000000004,0.8390000000000001,0.344,24,42,0.25,0.75
2021-10-25,TOR,CHI,108,111,-3,0,0.48200000000000004,0.8,0.4,27,47,0.48100000000000004,0.955,0.444,24,29,0.25,1.0
2021-10-25,MIA,ORL,107,90,17,1,0.47100000000000003,1.0,0.222,28,42,0.40700000000000003,0.632,0.273,21,39,0.6666666666666666,0.25
2021-10-25,BRK,WAS,104,90,14,1,0.426,0.8240000000000001,0.28600000000000003,23,54,0.34700000000000003,0.75,0.231,16,53,0.5,0.6666666666666666
2021-10-25,ATL,DET,122,104,18,1,0.511,0.857,0.375,24,49,0.44,0.833,0.273,26,36,0.6666666666666666,0.0
2021-10-25,MIN,NOP,98,107,-9,0,0.344,0.778,0.3,20,41,0.44799999999999995,0.826,0.33299999999999996,19,60,0.6666666666666666,0.25
2021-10-25,DEN,CLE,87,99,-12,0,0.40700000000000003,0.667,0.237,21,47,0.46299999999999997,0.8,0.28,26,49,0.6666666666666666,0.5
2021-10-25,LAC,POR,116,86,30,1,0.473,0.737,0.326,37,43,0.376,0.778,0.21600000000000005,15,47,0.3333333333333333,0.3333333333333333
2021-10-26,NYK,PHI,112,99,13,1,0.47100000000000003,0.9329999999999999,0.4320000000000001,24,45,0.439,0.882,0.293,24,40,0.75,0.5
2021-10-26,OKC,GSW,98,106,-8,0,0.419,0.8240000000000001,0.353,19,42,0.47,0.778,0.35,30,46,0.0,1.0
2021-10-26,SAS,LAL,121,125,-4,0,0.444,0.545,0.361,33,59,0.47600000000000003,0.773,0.267,20,56,0.25,0.5
2021-10-26,DAL,HOU,116,106,10,1,0.462,0.72,0.27899999999999997,25,50,0.419,0.6920000000000001,0.41,24,49,0.6666666666666666,0.25
2021-10-26,UTA,DEN,122,110,12,1,0.518,0.759,0.308,20,41,0.506,0.667,0.35700000000000004,19,35,1.0,0.5
2021-10-27,ORL,CHO,111,120,-9,0,0.489,0.769,0.375,22,33,0.518,0.833,0.467,22,40,0.2,0.8
2021-10-27,BOS,WAS,107,116,-9,0,0.435,0.821,0.345,18,37,0.512,0.7240000000000001,0.36,18,47,0.4,0.75
2021-10-27,BRK,MIA,93,106,-13,0,0.38799999999999996,0.929,0.326,21,42,0.396,0.846,0.276,21,62,0.4,0.75
2021-10-27,TOR,IND,118,100,18,1,0.46,0.632,0.467,22,41,0.48100000000000004,0.8240000000000001,0.345,19,40,0.4,0.2
