DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2020-12-31,IND,20,119.0,99.0,CLE,.483,.792,.457,28,44,.451,.542,.522,22,43
2020-12-31,WAS,-3,130.0,133.0,CHI,.500,.780,.483,27,37,.543,.760,.389,34,44
2020-12-31,ORL,-24,92.0,116.0,PHI,.347,.905,.250,17,48,.484,.867,.455,23,54
2020-12-31,HOU,3,122.0,119.0,SAC,.523,.760,.361,26,45,.469,.750,.333,23,45
2020-12-31,TOR,17,100.0,83.0,NYK,.410,.714,.327,21,53,.364,.800,.083,21,48
2020-12-31,OKC,-33,80.0,113.0,NOP,.375,.333,.313,24,40,.484,.632,.361,23,58
2020-12-31,UTA,-11,95.0,106.0,PHO,.417,.684,.353,16,46,.488,.700,.515,26,41
2021-01-01,CHO,-15,93.0,108.0,MEM,.407,.667,.290,23,42,.478,.800,.359,34,48
2021-01-01,DAL,10,93.0,83.0,MIA,.410,.739,.324,18,49,.372,.720,.212,20,41
2021-01-01,DET,3,96.0,93.0,BOS,.409,.650,.324,18,48,.470,.500,.258,20,44
2021-01-01,BRK,-18,96.0,114.0,ATL,.407,.826,.189,19,45,.462,.857,.410,24,48
2021-01-01,MIL,30,126.0,96.0,CHI,.494,.667,.489,27,44,.437,.700,.231,18,42
2021-01-01,MIN,-21,109.0,130.0,WAS,.477,.571,.361,17,43,.551,.762,.485,35,43
2021-01-01,SAS,-6,103.0,109.0,LAL,.424,.692,.382,23,45,.406,.813,.424,27,58
2021-01-01,DEN,-3,103.0,106.0,PHO,.453,.813,.414,28,38,.487,.905,.371,24,37
2021-01-01,UTA,6,106.0,100.0,LAC,.461,.643,.357,28,46,.388,.875,.394,19,43
2021-01-01,GSW,-25,98.0,123.0,POR,.392,.879,.200,19,44,.435,.767,.465,23,51
2021-01-02,HOU,8,102.0,94.0,SAC,.444,.739,.317,15,48,.389,.714,.321,11,47
2021-01-02,IND,-4,102.0,106.0,NYK,.405,.833,.380,22,32,.506,.769,.444,23,51
2021-01-02,ORL,-9,99.0,108.0,OKC,.370,.750,.263,21,55,.442,.905,.317,22,52
2021-01-02,PHI,15,127.0,112.0,CHO,.595,.708,.457,35,45,.413,.885,.371,34,40
2021-01-02,ATL,-5,91.0,96.0,CLE,.412,.526,.344,22,48,.418,.765,.241,19,46
2021-01-02,NOP,4,120.0,116.0,TOR,.422,.766,.368,26,50,.418,.963,.292,21,40
2021-01-03,DET,-2,120.0,122.0,BOS,.477,.880,.444,29,33,.563,.692,.455,35,41
2021-01-03,BRK,-1,122.0,123.0,WAS,.494,.903,.438,25,51,.413,.735,.364,27,49
2021-01-03,MEM,-14,94.0,108.0,LAL,.411,.875,.273,23,50,.461,.737,.343,24,49
2021-01-03,MIN,-15,109.0,124.0,DEN,.518,.688,.323,30,36,.489,.714,.422,34,43
2021-01-03,SAS,-21,109.0,130.0,UTA,.419,.714,.316,23,45,.551,.579,.512,29,57
2021-01-03,CHI,10,118.0,108.0,DAL,.459,.900,.351,16,48,.438,.704,.262,23,41
2021-01-03,PHO,-5,107.0,112.0,LAC,.493,.821,.303,23,40,.482,.789,.586,24,37
2021-01-03,GSW,15,137.0,122.0,POR,.557,.765,.382,23,53,.418,.788,.326,16,40
2021-01-04,ORL,20,103.0,83.0,CLE,.432,.923,.441,22,54,.388,.583,.357,20,35
2021-01-04,PHI,17,118.0,101.0,CHO,.484,.652,.344,34,55,.419,.727,.333,30,47
2021-01-04,ATL,-5,108.0,113.0,NYK,.460,.783,.323,24,40,.506,.800,.333,26,45
2021-01-04,MIA,28,118.0,90.0,OKC,.568,.556,.471,34,47,.367,.704,.271,20,38
2021-01-04,TOR,-12,114.0,126.0,BOS,.400,.763,.351,20,37,.488,.853,.517,19,56
2021-01-04,HOU,-13,100.0,113.0,DAL,.390,.806,.275,17,35,.476,.950,.410,24,51
2021-01-04,MIL,10,125.0,115.0,DET,.576,.813,.412,32,49,.439,1.000,.425,27,31
2021-01-04,NOP,-2,116.0,118.0,IND,.436,.792,.333,26,57,.484,.692,.422,32,42
2021-01-04,GSW,31,137.0,106.0,SAC,.526,.857,.535,41,48,.378,.718,.286,20,52
2021-01-05,BRK,34,130.0,96.0,UTA,.559,.750,.389,31,51,.384,.704,.324,17,41
2021-01-05,MEM,-2,92.0,94.0,LAL,.414,.769,.385,24,38,.437,.818,.290,24,52
2021-01-05,DEN,7,123.0,116.0,MIN,.519,.733,.320,22,42,.462,.778,.324,24,42
2021-01-05,LAC,-3,113.0,116.0,SAS,.500,.923,.429,29,45,.458,.727,.500,23,44
2021-01-05,POR,-3,108.0,111.0,CHI,.415,.647,.373,23,46,.440,.833,.390,27,52
2021-01-06,IND,7,114.0,107.0,HOU,.472,.808,.391,21,38,.481,.808,.267,19,39
2021-01-06,ORL,11,105.0,94.0,CLE,.494,.722,.414,20,43,.424,.692,.154,24,45
2021-01-06,PHI,5,141.0,136.0,WAS,.617,.697,.621,33,35,.500,.743,.432,27,35
2021-01-06,ATL,-8,94.0,102.0,CHO,.375,.833,.175,25,57,.376,.818,.306,22,49
2021-01-06,MIA,-2,105.0,107.0,BOS,.432,.846,.361,26,42,.424,.917,.343,22,53
2021-01-06,NYK,12,112.0,100.0,UTA,.517,.737,.364,22,48,.440,.545,.318,20,42
2021-01-06,MIL,15,130.0,115.0,DET,.544,.619,.442,35,47,.392,.867,.317,20,47
2021-01-06,NOP,-1,110.0,111.0,OKC,.494,.783,.182,25,52,.460,.750,.413,28,38
2021-01-06,PHO,8,123.0,115.0,TOR,.482,.917,.525,30,41,.494,.719,.400,18,42
2021-01-06,GSW,-7,101.0,108.0,LAC,.453,.789,.267,25,35,.444,1.000,.324,19,48
2021-01-06,SAC,4,128.0,124.0,CHI,.516,.741,.378,30,39,.527,.800,.350,27,43
2021-01-07,BRK,13,122.0,109.0,PHI,.454,.655,.405,30,48,.471,.900,.346,23,47
2021-01-07,MEM,-4,90.0,94.0,CLE,.434,.875,.355,27,48,.456,.563,.433,24,37
2021-01-07,DEN,-7,117.0,124.0,DAL,.443,.762,.341,25,47,.483,.774,.400,27,44
2021-01-07,LAL,-9,109.0,118.0,SAS,.500,.619,.333,21,48,.467,.941,.457,28,40
2021-01-07,POR,18,135.0,117.0,MIN,.544,.826,.439,25,44,.419,.758,.341,24,48
2021-01-08,DET,5,110.0,105.0,PHO,.411,.862,.324,23,46,.451,.462,.327,24,50
2021-01-08,BOS,9,116.0,107.0,WAS,.477,.733,.375,21,49,.466,.875,.379,22,38
2021-01-08,NOP,-8,110.0,118.0,CHO,.494,.731,.395,29,36,.471,.800,.381,33,45
2021-01-08,NYK,-12,89.0,101.0,OKC,.354,.600,.333,19,49,.437,.667,.324,16,62
2021-01-08,HOU,42,132.0,90.0,ORL,.560,.727,.468,34,49,.382,.875,.276,17,42
2021-01-08,MEM,5,115.0,110.0,BRK,.459,.857,.406,29,46,.469,.952,.452,26,42
2021-01-08,MIL,-13,118.0,131.0,UTA,.449,.810,.310,18,45,.505,.615,.472,31,50
2021-01-08,GSW,10,115.0,105.0,LAC,.488,.833,.488,25,38,.482,.846,.452,23,37
