DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2020-12-30,MEMPHIS GRIZZLIES,107.0,BOSTON CELTICS,126.0,19,BOS,MEM,1,57
2020-12-30,CHARLOTTE HORNETS,118.0,DALLAS MAVERICKS,99.0,-19,DAL,CHO,0,58
2020-12-30,LOS ANGELES LAKERS,121.0,SAN ANTONIO SPURS,107.0,-14,SAS,LAL,0,59
2020-12-30,PORTLAND TRAIL BLAZERS,105.0,LOS ANGELES CLIPPERS,128.0,23,LAC,POR,1,60
2020-12-31,CLEVELAND CAVALIERS,99.0,INDIANA PACERS,119.0,20,IND,CLE,1,61
2020-12-31,CHICAGO BULLS,133.0,WASHINGTON WIZARDS,130.0,-3,WAS,CHI,0,62
2020-12-31,PHILADELPHIA 76ERS,116.0,ORLANDO MAGIC,92.0,-24,ORL,PHI,0,63
2020-12-31,SACRAMENTO KINGS,119.0,HOUSTON ROCKETS,122.0,3,HOU,SAC,1,64
2020-12-31,NEW YORK KNICKS,83.0,TORONTO RAPTORS,100.0,17,TOR,NYK,1,65
2020-12-31,NEW ORLEANS PELICANS,113.0,OKLAHOMA CITY THUNDER,80.0,-33,OKC,NOP,0,66
2020-12-31,PHOENIX SUNS,106.0,UTAH JAZZ,95.0,-11,UTA,PHO,0,67
2021-01-01,MEMPHIS GRIZZLIES,108.0,CHARLOTTE HORNETS,93.0,-15,CHO,MEM,0,68
2021-01-01,MIAMI HEAT,83.0,DALLAS MAVERICKS,93.0,10,DAL,MIA,1,69
2021-01-01,BOSTON CELTICS,93.0,DETROIT PISTONS,96.0,3,DET,BOS,1,70
2021-01-01,ATLANTA HAWKS,114.0,BROOKLYN NETS,96.0,-18,BRK,ATL,0,71
2021-01-01,CHICAGO BULLS,96.0,MILWAUKEE BUCKS,126.0,30,MIL,CHI,1,72
2021-01-01,WASHINGTON WIZARDS,130.0,MINNESOTA TIMBERWOLVES,109.0,-21,MIN,WAS,0,73
2021-01-01,LOS ANGELES LAKERS,109.0,SAN ANTONIO SPURS,103.0,-6,SAS,LAL,0,74
2021-01-01,PHOENIX SUNS,106.0,DENVER NUGGETS,103.0,-3,DEN,PHO,0,75
