DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,FG_PCT_home,FT_PCT_home,FG3_PCT_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,home_winning_percentage,visitor_winning_percentage
2022-02-16,ORL,ATL,104.5,111.4,-6.900000000000006,0.4425,0.8192999999999999,0.32320000000000004,0.4548,0.8400000000000001,0.3415,0.21666666666666667,0.47368421052631576
2022-02-16,BOS,DET,111.2,101.8,9.400000000000006,0.4744,0.8166,0.34390000000000004,0.41979999999999995,0.7679,0.34059999999999996,0.5666666666666667,0.21428571428571427
2022-02-16,IND,WAS,114.6,107.4,7.199999999999989,0.48040000000000005,0.7394,0.36010000000000003,0.465,0.7738,0.364,0.3333333333333333,0.4642857142857143
2022-02-16,NYK,BRK,107.0,110.0,-3.0,0.44079999999999997,0.7579,0.3576,0.4548000000000001,0.7845000000000001,0.358,0.423728813559322,0.5263157894736842
2022-02-16,CHI,SAC,120.1,103.1,17.0,0.5225,0.8398999999999999,0.3714,0.44539999999999996,0.7534,0.31859999999999994,0.6440677966101694,0.3684210526315789
2022-02-16,MEM,POR,116.0,107.4,8.599999999999994,0.47309999999999997,0.7433,0.3509,0.4645,0.7169000000000001,0.3798,0.6833333333333333,0.40350877192982454
2022-02-16,MIN,TOR,114.0,110.7,3.299999999999997,0.4553,0.7331,0.3466,0.4504,0.7750999999999999,0.36,0.5254237288135594,0.5636363636363636
2022-02-16,OKC,SAS,100.8,113.4,-12.600000000000009,0.417,0.7777000000000001,0.3204,0.46399999999999997,0.8028000000000001,0.3485,0.3103448275862069,0.37037037037037035
2022-02-16,PHO,HOU,118.8,111.8,7.0,0.4997,0.7446,0.3617999999999999,0.45099999999999996,0.7645000000000001,0.35289999999999994,0.8275862068965517,0.2727272727272727
2022-02-16,GSW,DEN,115.3,111.9,3.3999999999999915,0.48230000000000006,0.7971,0.3565,0.4732,0.8259000000000001,0.35090000000000005,0.711864406779661,0.5614035087719298
