,HOME_ABBR,margin,FG_PCT_home,normMargin
0,ATL,2.4,0.44329999999999997,2.186046511627907
1,BOS,4.375,0.46549999999999997,2.3391472868217056
2,BRK,5.538461538461538,0.49623076923076925,2.4293381037567086
3,CHI,-5.0,0.45200000000000007,1.6124031007751938
4,CHO,-0.5,0.4528,1.9612403100775193
5,CLE,1.7272727272727273,0.4699090909090909,2.1338971106412967
6,DAL,-5.875,0.45375000000000004,1.5445736434108528
7,DEN,3.0,0.4715,2.2325581395348837
8,DET,-0.6363636363636364,0.4160909090909092,1.9506694855532065
9,GSW,7.0,0.47058333333333335,2.5426356589147288
10,HOU,2.3333333333333335,0.4424444444444445,2.1808785529715764
11,IND,1.3333333333333333,0.4745000000000001,2.103359173126615
12,LAC,7.4,0.48199999999999993,2.5736434108527133
13,LAL,6.5,0.495375,2.503875968992248
14,MEM,-3.875,0.44500000000000006,1.699612403100775
15,MIA,-4.454545454545454,0.47945454545454547,1.6546863988724454
16,MIL,12.9,0.5113999999999999,3.0
17,MIN,-5.454545454545454,0.4491818181818182,1.5771670190274842
18,NOP,-0.4444444444444444,0.45133333333333336,1.9655469422911283
19,NYK,-2.0,0.4482222222222222,1.8449612403100775
20,OKC,-16.75,0.44475,0.7015503875968994
21,ORL,-5.2,0.4250999999999999,1.5968992248062015
22,PHI,7.181818181818182,0.49927272727272726,2.5567300916138125
23,PHO,4.5,0.45537500000000003,2.3488372093023258
24,POR,-4.1,0.4408,1.682170542635659
25,SAC,-7.363636363636363,0.49054545454545456,1.4291754756871038
26,SAS,-3.9166666666666665,0.46508333333333335,1.6963824289405685
27,TOR,3.1818181818181817,0.4382727272727273,2.2466525722339674
28,UTA,10.5,0.4514,2.813953488372093
29,WAS,-3.0,0.46987500000000004,1.7674418604651163
