DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-01-04,Charlotte Hornets,101.0,Philadelphia 76ers,118.0
2021-01-04,New York Knicks,113.0,Atlanta Hawks,108.0
2021-01-04,Oklahoma City Thunder,90.0,Miami Heat,118.0
2021-01-04,Boston Celtics,126.0,Toronto Raptors,114.0
2021-01-04,Dallas Mavericks,113.0,Houston Rockets,100.0
2021-01-04,Detroit Pistons,115.0,Milwaukee Bucks,125.0
2021-01-04,Indiana Pacers,118.0,New Orleans Pelicans,116.0
2021-01-04,Sacramento Kings,106.0,Golden State Warriors,137.0
2021-01-05,Utah Jazz,96.0,Brooklyn Nets,130.0
2021-01-05,Los Angeles Lakers,94.0,Memphis Grizzlies,92.0
2021-01-05,Minnesota Timberwolves,116.0,Denver Nuggets,123.0
2021-01-05,San Antonio Spurs,116.0,Los Angeles Clippers,113.0
2021-01-05,Chicago Bulls,111.0,Portland Trail Blazers,108.0
2021-01-06,Houston Rockets,107.0,Indiana Pacers,114.0
2021-01-06,Cleveland Cavaliers,94.0,Orlando Magic,105.0
2021-01-06,Washington Wizards,136.0,Philadelphia 76ers,141.0
2021-01-06,Charlotte Hornets,102.0,Atlanta Hawks,94.0
2021-01-06,Boston Celtics,107.0,Miami Heat,105.0
2021-01-06,Utah Jazz,100.0,New York Knicks,112.0
2021-01-06,Detroit Pistons,115.0,Milwaukee Bucks,130.0
2021-01-06,Oklahoma City Thunder,111.0,New Orleans Pelicans,110.0
2021-01-06,Toronto Raptors,115.0,Phoenix Suns,123.0
2021-01-06,Los Angeles Clippers,108.0,Golden State Warriors,101.0
2021-01-06,Chicago Bulls,124.0,Sacramento Kings,128.0
2021-01-07,Philadelphia 76ers,109.0,Brooklyn Nets,122.0
2021-01-07,Cleveland Cavaliers,94.0,Memphis Grizzlies,90.0
2021-01-07,Dallas Mavericks,124.0,Denver Nuggets,117.0
2021-01-07,San Antonio Spurs,118.0,Los Angeles Lakers,109.0
2021-01-07,Minnesota Timberwolves,117.0,Portland Trail Blazers,135.0
2021-01-08,Phoenix Suns,105.0,Detroit Pistons,110.0
2021-01-08,Washington Wizards,107.0,Boston Celtics,116.0
2021-01-08,Charlotte Hornets,118.0,New Orleans Pelicans,110.0
2021-01-08,Oklahoma City Thunder,101.0,New York Knicks,89.0
2021-01-08,Orlando Magic,90.0,Houston Rockets,132.0
2021-01-08,Brooklyn Nets,110.0,Memphis Grizzlies,115.0
2021-01-08,Utah Jazz,131.0,Milwaukee Bucks,118.0
2021-01-08,Los Angeles Clippers,105.0,Golden State Warriors,115.0
2021-01-08,Chicago Bulls,115.0,Los Angeles Lakers,117.0
2021-01-08,Toronto Raptors,144.0,Sacramento Kings,123.0
2021-01-09,Denver Nuggets,115.0,Philadelphia 76ers,103.0
2021-01-09,Atlanta Hawks,105.0,Charlotte Hornets,113.0
2021-01-09,Phoenix Suns,125.0,Indiana Pacers,117.0
2021-01-09,Miami Heat,128.0,Washington Wizards,124.0
2021-01-09,Cleveland Cavaliers,90.0,Milwaukee Bucks,100.0
2021-01-09,San Antonio Spurs,125.0,Minnesota Timberwolves,122.0
2021-01-09,Orlando Magic,98.0,Dallas Mavericks,112.0
2021-01-09,Portland Trail Blazers,125.0,Sacramento Kings,99.0
2021-01-10,Utah Jazz,96.0,Detroit Pistons,86.0
