DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,FG_PCT_home,FT_PCT_home,FG3_PCT_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,home_winning_percentage,visitor_winning_percentage,diff_%
2022-02-24,DET,CLE,109.4,107.6,1.8000000000000114,0.4495,0.7834999999999999,0.33920000000000006,0.4880000000000001,0.7338,0.35700000000000004,0.21568627450980393,0.6060606060606061,-0.4
2022-02-24,BRK,BOS,108.0,111.7,-3.700000000000003,0.4562999999999999,0.7948999999999999,0.31260000000000004,0.48019999999999996,0.817,0.3739,0.5,0.5794392523364486,-0.1
2022-02-24,CHI,ATL,120.1,111.4,8.699999999999989,0.5225,0.8398999999999999,0.3714,0.4548,0.8400000000000001,0.3415,0.638095238095238,0.49504950495049505,0.1
2022-02-24,MIN,MEM,114.0,119.7,-5.700000000000003,0.4553,0.7331,0.34659999999999996,0.4689,0.6748000000000001,0.32060000000000005,0.5471698113207547,0.7102803738317757,-0.2
2022-02-24,OKC,PHO,100.8,113.2,-12.400000000000006,0.417,0.7777000000000001,0.3204,0.48950000000000005,0.7840999999999999,0.31809999999999994,0.2980769230769231,0.8365384615384616,-0.5
2022-02-24,POR,GSW,105.2,108.5,-3.299999999999997,0.43709999999999993,0.7272,0.35050000000000003,0.44509999999999994,0.8051999999999998,0.3639,0.4117647058823529,0.6952380952380952,-0.3
2022-02-24,SAC,DEN,117.5,111.9,5.599999999999994,0.48460000000000003,0.7827000000000001,0.382,0.4732,0.8259000000000001,0.35090000000000005,0.36538461538461536,0.5490196078431373,-0.2
