DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2/7/22,Toronto Raptors,116,Charlotte Hornets,101
2/8/22,Phoenix Suns,114,Philadelphia 76ers,109
2/9/22,San Antonio Spurs,92,Cleveland Cavaliers,105
2/10/22,Memphis Grizzlies,132,Detroit Pistons,107
2/11/22,Charlotte Hornets,141,Detroit Pistons,119
2/12/22,New York Knicks,103,Portland Trail Blazers,112
2/13/22,Atlanta Hawks,95,Boston Celtics,105
2/14/22,Detroit Pistons,94,Washington Wizards,103
2/15/22,Cleveland Cavaliers,116,Atlanta Hawks,124
2/16/22,Atlanta Hawks,130,Orlando Magic,109
2/17/22,Miami Heat,111,Charlotte Hornets,107
2/24/22,Cleveland Cavaliers,0,Detroit Pistons,0
